alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
2.7797,-0.432692,0.255415,-0.143497,-0.318589,-0.122108,-0.421194,0.0448614,-0.350438,0.0648048,0.353534,0.539194,-0.0199897,0.0713345,-0.398564,-0.131458,-0.076617,0.484498,-0.0704907,-0.446255,0.00643728,-0.142905,-0.0282517,-0.0781658,-0.0978183,-0.190327,-0.16561,-0.107513,-0.0434454,-0.207726,-0.354785,-0.15633
2.73708,-0.597621,-0.0852308,-0.2557,-0.0494195,-0.246393,-0.262858,-0.0848346,-0.248346,0.220406,0.35739,0.0890134,0.0981932,0.229124,-0.18891,-0.0451108,-0.134238,0.431616,0.0936453,-0.05819,0.233969,0.0647272,0.168255,0.0480454,0.136966,-0.00324725,-0.0210914,0.124666,0.225598,-0.0889025,-0.324554,-0.231292
1.85924,-0.358034,0.180946,0.308325,0.255621,0.241631,0.213948,-0.131386,-0.279186,0.194083,0.383681,0.0626702,-0.020908,0.137935,-0.0370627,-0.0526058,-0.027263,0.464675,-0.0461825,-0.061137,0.258298,-0.0513102,0.113846,0.110823,-0.15227,0.0370292,0.133431,0.0996323,0.0791106,0.00345941,-0.0336644,-0.0920271
1.71955,-0.315507,0.351298,0.254669,0.161215,0.375806,0.0468328,-0.123805,-0.174429,0.195467,0.38851,0.23366,0.186813,0.553357,-0.405198,0.378403,0.277412,0.439159,-0.0389309,-0.286976,0.194472,0.0709331,0.0698704,0.00109473,0.0247228,0.0377988,-0.0844624,0.0575252,0.16302,-0.0979801,-0.110933,-0.0118844
2.0761,-0.433683,0.206392,0.346493,0.444204,0.597727,0.65965,-0.168568,-0.266333,0.0543429,0.369227,0.0985608,0.0934779,-0.0387748,-0.248628,-0.197134,-0.095581,0.444,-0.168671,-0.273546,0.0857763,-0.0988675,0.0743893,-0.0719715,-0.140064,-0.163915,-0.0753726,-0.0204076,-0.0878771,-0.280722,-0.113428,-0.189043
2.29009,-0.545796,0.185531,0.100285,-0.010594,0.174951,-0.278588,-0.109061,-0.400306,0.138226,0.3503,0.0344193,-0.0362795,0.081471,-0.0502479,0.0213821,-0.00145209,0.405437,-0.0325787,-0.176259,0.255865,0.0528079,0.187759,0.090271,-0.152414,0.0319544,-0.00634189,0.0876512,-0.0103374,0.000404355,-0.264543,-0.0618795
2.1613,-0.31035,0.0195013,-0.0135324,0.276458,0.561364,-0.0265405,-0.198403,-0.260026,0.199425,0.36331,0.0835318,0.0871984,0.129111,-0.00289825,-0.0144398,0.0760115,0.467703,-0.252866,-0.315813,0.130847,0.35042,0.0292405,-0.0866558,0.179886,-0.124048,-0.0881168,-0.0302698,0.2427,-0.195253,-0.535148,-0.20164
2.22504,-0.432608,0.0118006,0.243685,0.333508,0.277764,0.0868938,-0.171332,-0.182799,0.151529,0.346278,0.111547,0.0813198,0.182137,-0.0624537,-0.0262804,0.000240534,0.509861,0.025622,-0.237427,0.10189,-0.0729594,0.0730674,0.0717068,0.237407,0.00937945,-0.0860072,0.106246,0.160372,-0.197448,-0.319602,-0.194236
2.09135,-0.47297,0.180036,0.0157358,0.292519,0.481918,0.100324,-0.114118,-0.326691,0.107783,0.353195,0.0398361,0.0277555,0.0477468,0.011116,0.0480031,0.00618031,0.405323,0.0141279,-0.143044,0.180895,0.00382422,0.13771,0.088722,0.0751914,-0.0439333,0.0365487,0.125561,-0.0385978,-0.0938066,-0.0816069,0.0439981
2.05311,-0.419443,-0.0370464,0.136601,0.144815,0.697205,0.367729,-0.181796,-0.156818,0.112767,0.344218,0.144813,-0.00504363,0.150953,-0.136034,-0.0595931,-0.106793,0.486714,-0.108343,-0.190608,0.281865,0.313608,0.258012,0.118224,0.098326,0.0188843,0.0927927,0.215727,0.162429,-0.05264,-0.188927,-0.0787369
