alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
0.791091,-0.336061,0.419988,0.823511,0.465086,1.0474,0.880067,-0.265377,0.80943,0.21173,0.228557,0.146145,-0.0437114,0.0802976,-0.0917532
1.06173,-0.290564,0.135839,0.841088,0.57456,1.0429,0.99789,-0.296482,0.733489,0.342815,0.398801,0.310225,-0.782566,-0.267575,-0.162848
0.420768,-0.383159,0.309852,0.677566,0.500031,0.890225,1.24701,-0.35341,0.653878,0.465616,0.912812,0.577955,0.00842621,0.78341,0.294073
1.18632,-0.633022,0.256947,0.703455,0.367694,0.594242,0.410451,-0.170808,0.710317,0.292081,0.371451,0.325038,-0.370258,0.114997,0.0266165
1.46828,-0.637604,0.354138,0.406858,0.207661,0.490693,1.03271,-0.263092,0.623578,0.220315,0.409292,0.299442,-0.420465,-0.101264,-0.304349
1.43338,-0.752891,0.501731,0.570442,0.137523,0.238457,-0.065606,-0.217222,0.710038,0.4658,0.303108,0.270852,-0.718989,-0.0941558,-0.154397
0.587151,-0.387809,0.613244,1.16387,0.749181,1.11662,0.672774,-0.186492,0.790058,0.319317,0.263606,0.140682,-0.468741,0.196106,0.0557698
1.39208,-0.578751,0.366478,0.276633,0.0709359,0.62803,0.423684,-0.218237,0.660943,0.330231,0.387025,0.191239,-0.419523,-0.208047,-0.174308
1.22794,-0.654026,0.240354,0.759374,0.602803,1.24485,0.897918,-0.317311,0.680655,0.335087,0.36231,0.179046,-0.701245,0.153679,-0.292296
1.17597,-0.530776,0.200006,0.814071,0.471079,1.10469,0.992267,-0.175242,0.734562,0.558168,0.310314,0.184439,-0.644012,-0.13799,-0.236561
1.10148,-0.585949,0.2249,0.579708,0.322424,0.67013,0.871922,-0.218248,0.679578,0.443848,0.658127,0.491424,-0.191133,0.0345258,-0.170534
1.28306,-0.672916,0.254436,0.535894,0.459885,0.763265,1.42233,-0.305433,0.777775,0.403475,0.213231,0.170541,-0.457692,-0.211151,-0.174532
0.834842,-0.581746,0.330635,0.83305,0.870851,0.913809,0.916698,-0.214698,0.668715,0.272998,0.382718,0.491511,-0.19361,-0.0483357,0.291144
1.15422,-0.52791,0.0865177,0.885011,0.572669,1.29225,1.21155,-0.296071,0.740315,0.553419,0.179409,0.382308,-0.581934,-0.142955,-0.216905
1.45769,-0.623333,0.217587,0.320779,0.402689,0.645315,0.449021,-0.203942,0.638855,0.275248,0.37657,0.234812,-0.454029,-0.372208,-0.393081
1.2975,-0.348781,0.11067,0.764888,0.225942,0.595906,0.882223,-0.122644,0.703567,0.404339,0.183616,0.404224,-0.66452,-0.222425,-0.198894
1.41378,-0.804728,-0.109316,1.02496,0.453328,0.853304,1.28617,-0.304178,0.733832,0.346733,0.367823,0.368125,-0.459902,0.0871766,-0.387802
0.760292,-0.594848,0.365936,0.902609,0.670412,1.06953,0.7992,-0.275139,0.782156,0.315304,0.402033,0.257027,-0.354487,0.158766,0.216148
0.921995,-0.486551,0.325724,0.810337,0.634567,1.08681,0.849432,-0.198805,0.631384,0.23716,0.291635,0.411762,-0.308064,-0.198886,-0.269743
1.1028,-0.495362,0.302876,0.4533,0.467771,1.01497,0.558233,-0.327866,0.688931,0.136591,0.186544,0.0526679,-0.258808,0.305205,-0.0290051
0.768299,-0.520867,0.493018,0.997448,0.80795,0.892498,0.889048,-0.351003,0.715671,0.291876,0.666038,0.0584876,-0.137627,0.0704411,-0.23384
1.00313,-0.860202,0.4254,0.494197,0.333369,0.987945,0.552953,-0.37123,0.718398,0.299493,0.541936,0.344179,-0.101534,0.242985,0.260326
1.05786,-0.374462,0.191383,0.78037,0.643652,1.03299,1.1005,-0.268589,0.70609,0.439662,0.213608,0.180094,-0.606999,-0.109438,-0.178296
1.06365,-0.649121,0.35251,0.704478,0.324409,0.910608,0.449626,-0.11229,0.671346,0.414362,0.237711,0.435351,-0.253062,-0.195573,0.303361
1.43501,-0.759108,0.0699665,0.355027,0.557133,0.891486,0.888143,-0.231489,0.711282,0.383611,0.619602,0.251026,-0.456338,0.182254,0.192085
1.50368,-0.520365,0.274531,0.590708,0.547765,0.778491,0.214582,-0.210266,0.719543,0.982789,-0.106491,-0.0588591,-0.951888,-0.539882,-0.27377
0.816467,-0.341486,0.220565,0.794658,0.712517,0.880179,0.76458,-0.199385,0.664582,0.468267,0.59559,0.452586,-0.058265,-0.192424,-0.022887
0.763115,-0.332859,0.0978591,1.00962,0.900223,1.36254,1.45213,-0.356437,0.726075,0.119746,0.132062,0.202576,-0.261353,-0.110034,0.00831321
0.499094,-0.321328,0.341501,0.742615,0.982362,1.74948,1.24046,-0.379957,0.773731,0.267846,0.431859,0.0393272,-0.472265,-0.178982,0.0586027
0.813489,-0.360222,0.403979,1.0845,0.585645,1.1371,0.698913,-0.254676,0.685999,0.298822,-0.0407771,0.23778,-0.306125,-0.12894,-0.0376241
1.16595,-0.415342,0.118024,0.513289,0.87906,1.06204,1.19516,-0.304586,0.706574,0.198368,0.418603,-0.0459724,-0.387863,-0.153909,-0.0252394
1.49901,-0.637748,0.235069,0.850897,0.535314,0.89737,0.964439,-0.286456,0.746648,0.432955,-0.185726,-0.319019,-0.698278,-0.416373,-0.562702
1.44142,-0.463458,0.041853,0.480753,0.494576,0.475162,0.746394,-0.20361,0.671153,0.302618,0.424022,0.135577,-0.45068,-0.244106,-0.3255
1.4858,-0.750945,0.24188,0.710275,0.493023,0.72624,0.893476,-0.144721,0.693692,0.312625,0.112594,0.200881,-0.507717,-0.385883,-0.214545
0.873967,-0.500591,0.252272,0.986242,0.750984,1.30359,1.42583,-0.222975,0.728744,0.568566,0.26172,0.425337,-0.515156,0.138607,-0.249012
1.0244,-0.533328,0.319075,0.787747,0.564987,1.17004,0.744378,-0.188587,0.752862,0.471722,0.462742,0.319025,-0.456092,-0.227892,-0.231017
1.55959,-0.672837,-0.00332387,0.31668,0.336345,0.690087,0.626321,-0.256486,0.738565,0.252308,0.608919,0.227259,-0.217526,-0.0493162,-0.279079
0.986399,-0.419253,0.0976976,0.821466,0.916322,1.36289,1.336,-0.29748,0.66493,0.399512,0.0947278,0.306172,-0.693485,-0.234224,-0.342984
0.850594,-0.355118,0.509888,0.832416,0.65898,0.887835,0.0950211,-0.228526,0.628749,0.550873,0.124476,0.209199,-0.833137,0.0274497,0.0319017
0.964284,-0.596546,0.206056,0.891148,0.550025,0.913012,1.10541,-0.317188,0.72279,0.21831,0.323355,0.164324,-0.162187,-0.0381474,-0.186097
1.12931,-0.467982,0.410371,0.3788,0.124571,0.682325,0.387252,-0.190511,0.64877,0.47159,0.540958,0.373757,-0.413265,0.220025,-0.128421
1.32796,-0.51176,0.474557,0.370832,0.187434,0.581368,0.439718,-0.309499,0.698719,0.298695,0.274664,-0.241625,-0.147237,-0.0760254,-0.240068
1.50589,-0.606826,0.259393,0.0807755,-0.0770305,0.156811,0.39475,-0.196582,0.737171,0.260703,0.619229,0.282014,-0.129054,0.0669275,-0.121351
1.17235,-0.476452,0.127706,0.615872,0.443062,0.773287,0.724914,-0.226481,0.736544,0.278091,0.390754,0.510271,-0.407471,0.309245,-0.0392679
1.27444,-0.682307,0.0406721,1.04765,0.681697,0.854496,0.240391,-0.247959,0.768862,0.0997207,0.0736055,-0.0267823,-0.184314,0.0185372,-0.146277
1.14268,-0.424316,0.219439,0.373589,0.454916,1.1007,0.432529,-0.278227,0.716069,0.311396,0.181469,0.240833,-0.366475,0.112481,0.0278033
1.07029,-0.739518,0.286173,0.541366,0.541873,0.644566,0.38569,-0.224421,0.681411,0.653953,0.892904,0.549899,-0.251921,0.115463,0.231724
1.22757,-0.677922,0.177605,0.637345,0.569159,0.914435,1.17601,-0.222201,0.65036,0.210124,0.446237,0.422267,-0.252584,-0.410818,-0.258549
1.52038,-0.760338,0.375257,0.419571,0.114928,0.360321,0.0884364,-0.144918,0.758019,0.474885,0.229304,0.586785,-0.376881,-0.126715,0.200496
1.0568,-0.461994,0.166641,0.458109,0.380313,1.0901,0.829582,-0.267297,0.685791,0.874814,0.811223,0.549303,-0.478267,-0.238728,0.0652643
1.18318,-0.635698,0.402091,0.654914,0.433915,0.635718,0.677613,-0.145203,0.716421,0.356112,0.271562,0.412268,-0.633469,-0.00115961,0.0377131
0.86895,-0.530033,0.382484,0.568405,0.193507,1.04399,0.414668,-0.295758,0.721082,0.325618,0.630741,0.570065,-0.180864,0.549119,0.374191
1.38289,-0.296029,0.464478,0.446007,0.283228,0.686565,0.116833,-0.254499,0.679332,0.502792,0.0337107,-0.159233,-0.663424,-0.309908,-0.470958
0.33261,-0.605137,0.342583,0.929337,0.851767,1.42086,1.49958,-0.324241,0.741909,0.451849,0.827157,0.721139,0.160683,0.0610483,0.367924
0.956916,-0.583303,0.313424,1.02851,0.75929,1.20746,1.54126,-0.289355,0.690011,0.243601,0.0494626,0.156087,-0.503508,-0.170328,-0.302717
1.03891,-0.430953,0.382853,0.469482,0.497585,1.09026,0.57131,-0.239256,0.760774,0.221624,0.379105,0.0190104,-0.325063,0.023019,-0.0778076
1.07216,-0.590906,-0.02438,0.91291,0.766095,1.00016,1.01906,-0.231981,0.687073,0.273904,0.338166,0.390499,-0.471595,-0.168661,0.0544041
0.931174,-0.522004,0.390841,0.480924,0.15005,0.986985,0.72212,-0.205264,0.733002,0.389929,0.485179,0.675928,-0.48252,0.299874,0.278546
1.01948,-0.630155,0.355145,0.889915,0.679321,1.10199,0.78404,-0.278744,0.724198,0.427063,0.347546,0.182742,-0.550179,-0.291665,0.0101081
1.73796,-0.688121,0.300779,0.894838,0.461651,1.03075,0.775629,-0.227041,0.650363,1.45425,-0.231814,-0.441198,-1.32131,-0.685715,-0.521459
0.875032,-0.357511,0.364233,1.03755,0.683924,1.01,0.983408,-0.151027,0.682562,0.249745,0.184408,0.105471,-0.468498,-0.148813,-0.010005
0.893682,-0.49426,0.254546,0.275575,0.0541938,0.990017,0.691526,-0.268609,0.733675,0.557704,1.03424,0.924987,-0.212637,0.38798,0.111779
1.01354,-0.534281,0.358191,0.904688,0.494579,0.907495,1.15679,-0.303635,0.67171,0.220244,0.0980816,0.142488,-0.403624,0.0507969,-0.215752
0.725837,-0.398935,0.00874585,0.74288,0.835144,1.51501,1.39358,-0.289035,0.724225,0.586642,0.513446,0.536069,-0.630786,-0.150204,0.0867732
0.916744,-0.470472,0.583655,0.728247,0.652452,0.971194,0.750406,-0.236037,0.661959,0.270422,0.205723,-0.023143,-0.534752,0.226254,-0.25517
0.590153,-0.328445,0.507725,0.972847,0.847094,1.2999,1.02467,-0.294832,0.694511,0.218217,0.342,0.0560446,-0.450449,0.0239402,-0.0701439
0.819543,-0.382478,0.24783,1.02677,0.64563,1.2046,1.2611,-0.276072,0.690132,0.298408,0.194554,-0.1382,-0.314513,-0.197971,-0.273143
0.34874,-0.345718,0.136546,0.958409,0.630277,0.909572,1.04117,-0.20482,0.695431,0.452803,0.541287,0.927984,-0.0364798,0.640603,0.639294
1.056,-0.458917,0.306363,0.459583,0.275224,0.873771,0.972138,-0.273125,0.627852,0.530623,0.555442,0.345039,-0.491394,0.15957,-0.093195
1.22417,-0.386225,0.342967,0.473415,0.5268,0.892168,0.913984,-0.211157,0.691535,0.458876,0.254243,0.28079,-0.935135,-0.158274,-0.152475
1.18374,-0.527864,0.422914,0.738071,0.396456,0.826391,0.437714,-0.249443,0.622594,0.126159,0.254617,0.133361,-0.242071,-0.135572,-0.117205
