alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
2.08394,-0.228124,0.0751323,0.0358727,0.444352,0.456313,0.0188198,-0.0849672,-0.281111,0.181229,0.586982,0.171322,-0.22112,0.344626,-0.320129,0.0101333,-0.180734
2.16577,-0.429167,-0.22289,0.258511,0.431521,0.523999,0.361287,-0.189858,-0.212998,0.138454,0.513095,0.250515,-0.128184,0.15108,-0.153768,0.209886,0.117612
2.03136,-0.338913,-0.0931008,0.308616,0.495339,0.526041,0.168654,-0.0849832,-0.196645,0.240005,0.526937,0.534767,0.0432446,0.569545,-0.44682,0.122699,0.145708
2.40693,-0.338567,0.0978785,-0.202604,0.045033,0.189599,0.123069,-0.12231,-0.336742,0.16638,0.520047,0.307283,-0.267026,0.15219,-0.335485,-0.163251,0.0467277
2.39329,-0.659612,0.0812627,-0.0147695,0.160269,0.240498,-0.0114641,-0.120397,-0.194894,0.162001,0.585019,0.134483,0.0608501,0.131305,-0.0716249,0.0246955,0.0131939
2.07073,-0.349794,-0.321869,0.139866,0.518259,0.766885,0.691653,-0.234057,-0.282251,0.204323,0.583621,0.29579,0.140143,0.259567,-0.164261,0.12405,0.0706811
2.25384,-0.399314,0.0642356,-0.0659094,0.340358,0.496584,0.207824,-0.198015,-0.340704,0.157761,0.560956,0.0745353,0.0249607,0.0455983,-0.152656,0.0656425,-0.0756876
2.26163,-0.3529,0.219368,-0.000962007,0.0642782,0.635375,-0.115738,-0.179718,-0.425304,0.0986214,0.606017,0.129212,-0.0802148,-0.248099,-0.423564,-0.0891109,0.144471
2.2354,-0.363266,-0.110701,0.0292193,0.253773,0.283662,0.087816,-0.182805,-0.285995,0.188595,0.542128,0.172576,-0.02237,0.198262,-0.249097,0.196678,-0.0829926
2.06025,-0.435476,-0.17073,0.277314,0.602398,0.708309,0.322113,-0.146071,-0.189292,0.122468,0.592388,0.0770136,0.0756951,0.0345002,0.0159517,0.0764583,0.0132981
2.21385,-0.467729,-0.166943,0.109644,0.158971,0.5215,0.213875,-0.110715,-0.335141,0.20491,0.532834,0.220432,-0.0433903,0.250529,-0.136718,0.234936,0.122156
1.78899,-0.414349,-0.0396727,0.377274,0.749062,0.896454,0.88345,-0.178479,-0.471202,0.14898,0.613857,0.161727,0.0278455,0.170907,-0.268876,0.0889754,0.0107459
