alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,sigma_v,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
1.71028,-0.376608,0.182704,0.3957,0.397296,0.757331,0.634065,-0.230251,0.35838,0.176078,0.15867,0.119789,-0.0266238,0.0331975,-0.179883,0.468414,0.192669,0.0261957,-0.153079,0.246039,0.0236109,0.0930622,0.068839,-0.0305113,-0.036458,-0.0584022,0.233452,0.188459,-0.0420595,-0.309949,-0.0640206
1.69285,-0.449894,0.236881,0.471608,0.342473,0.88672,0.59704,-0.176793,0.355667,0.0893718,0.0685482,0.145649,-0.230222,0.0567746,-0.128,0.49224,0.242955,-0.0366052,-0.168527,0.272717,0.292472,0.161286,0.161358,0.359835,-0.0162907,0.10153,0.141419,0.329833,-0.0296161,-0.344007,0.0185708
1.64423,-0.282765,0.165856,0.272934,0.655231,0.455135,0.398047,-0.231408,0.345282,0.130896,0.197559,0.190926,-0.167965,0.10266,-0.192709,0.433303,0.142809,-0.165758,-0.144608,0.297084,-0.160963,0.130421,0.0600281,0.202304,0.0171739,0.0341375,0.125131,0.187181,0.00693252,0.0500281,-0.0696389
1.77759,-0.170903,0.224016,0.388528,0.328566,0.574623,0.428943,-0.239531,0.374099,0.0878287,0.0233427,0.0454619,-0.257377,-0.0646242,-0.248033,0.527045,0.125999,-0.17886,-0.188048,0.153181,-0.0158126,0.163756,0.00412584,0.116093,0.0324148,-0.00390052,0.114841,0.150161,-0.0659542,-0.0371195,-0.0822498
1.8289,-0.466665,0.518552,0.368841,0.0443843,0.491119,0.493188,-0.247834,0.346372,0.139565,0.172513,-0.0133913,-0.115421,0.142937,-0.260546,0.484963,0.115567,0.20706,-0.269806,0.127358,0.0327722,0.0306845,-0.0381298,0.249764,-0.125828,-0.0949843,-0.0143358,0.161347,-0.142088,-0.125122,-0.0871193
1.7245,-0.38375,0.444116,0.154096,0.15529,0.223585,0.275558,-0.200886,0.360186,0.112094,0.202729,0.0941311,-0.0754046,-0.043983,-0.15688,0.47085,0.122971,0.0127941,-0.220522,0.320866,-0.0808796,0.338754,0.200478,-0.0310519,0.071085,0.103268,0.1787,-0.0377412,0.0153066,0.022742,0.19776
1.68012,-0.36445,0.179372,0.616102,0.522488,0.684442,0.382802,-0.197181,0.358923,0.306308,0.143489,0.424422,-0.339556,0.151374,-0.0371983,0.488172,0.0999814,-0.0764821,-0.198203,0.184549,0.0710884,0.12606,0.0357832,0.0983958,-0.0643484,-0.012627,0.0786203,0.0465132,-0.0281569,-0.116294,-0.0641849
1.55446,-0.301669,0.215716,0.307024,0.378072,0.693387,1.12093,-0.259348,0.361701,0.161922,0.148099,0.174125,-0.238063,0.133086,0.00714753,0.478751,0.128272,-0.171431,-0.103916,0.273339,0.00320331,0.259823,0.0814807,-0.0585777,0.0032241,0.137156,0.182357,0.188442,0.0115627,-0.135219,-0.0820793
1.5237,-0.22966,0.470147,0.632747,0.392247,0.723948,0.252993,-0.178536,0.33309,0.0968065,-0.0129542,0.101914,-0.31203,0.00348012,-0.124844,0.459184,0.173994,0.0456871,-0.271195,0.185506,-0.128622,0.105697,0.0219236,0.175937,0.00383614,-0.0225546,0.0317402,0.184728,-0.114249,-0.356462,-0.158982
1.50266,-0.27864,0.448986,0.354376,0.467359,0.701585,0.512148,-0.301534,0.357524,0.227732,0.235983,-0.000458085,-0.130926,0.286995,-0.121698,0.491642,0.12524,0.0022382,-0.27855,0.215095,0.0675738,0.0823625,0.0854942,0.131619,0.0305008,0.0695953,0.171026,0.12117,-0.0457748,-0.038114,-0.014983
1.42042,-0.265966,0.320364,0.744735,0.619591,0.750474,0.59797,-0.200414,0.353994,0.20548,0.209812,0.26166,-0.176412,0.0803912,0.171319,0.533273,0.0969233,0.0937148,-0.222812,0.143977,-0.0533227,0.0644324,0.0428066,0.00892564,-0.0369913,-0.0241327,0.0591917,-0.0550906,-0.102169,-0.0204982,-0.0554785
1.63743,-0.259405,0.279695,0.469109,0.393101,0.766598,0.489361,-0.292581,0.3781,0.181468,0.0550964,0.147015,-0.163465,0.157692,-0.276918,0.439227,0.0987506,-0.258985,-0.14756,0.212595,0.0213582,0.0859862,0.0267695,-0.124438,0.0407573,-0.036783,0.0393189,0.174315,-0.0591531,-0.0503683,-0.100089
1.91942,-0.431748,0.291495,0.288114,0.238035,0.544216,0.0580446,-0.12029,0.352077,0.191887,0.0468761,0.139846,-0.23378,0.0645301,0.0593228,0.479625,0.109766,0.0285448,-0.229266,0.235157,-0.0224039,0.106366,-0.0133544,-0.0704987,-0.0284132,-0.00978725,0.0598638,0.0505014,-0.0579211,-0.22995,-0.147451
2.01016,-0.540411,0.260017,0.331886,0.259461,0.383938,0.210289,-0.190729,0.351596,0.0654653,0.115903,0.0548005,-0.0241145,0.0416156,-0.0210597,0.478071,0.116372,-0.0692249,-0.142717,0.237181,0.125966,0.218331,0.0975367,0.071911,-0.00666687,-0.0179518,0.158292,0.261265,0.0372868,-0.0111386,-0.245192
1.93298,-0.314373,0.518962,-0.0542028,0.175137,0.485112,-0.0558033,-0.137067,0.405403,0.103701,0.108514,0.00682414,-0.189459,0.000685449,-0.0377917,0.487056,0.122474,-0.141759,-0.117554,0.126519,-0.0526275,0.0654534,-0.000693558,-0.0783126,-0.0135297,-0.0766963,0.10007,0.273514,-0.0462189,-0.312454,-0.0696213
1.84367,-0.45493,0.178765,0.311133,0.445484,0.843713,0.5873,-0.241955,0.359942,0.171489,0.151557,0.144117,-0.165895,-0.0178735,-0.0871402,0.422699,0.108084,-0.120631,-0.214754,0.222633,0.162391,0.103762,0.077032,-0.0386641,-0.0746144,0.0522258,0.142934,0.0234127,-0.0235387,-0.0459658,-0.0961169
2.26728,-0.444231,0.0568177,0.125544,0.169334,0.477978,0.0035605,-0.212588,0.352027,0.0756669,0.106492,0.0289637,-0.179777,-0.028666,-0.146318,0.506267,0.310915,0.170313,-0.212024,0.251538,0.192893,0.103732,0.0490235,-0.137666,-0.0552314,-0.0604639,0.0167834,-0.00595585,-0.126832,-0.276077,0.0213329
2.06528,-0.562679,0.232499,0.303458,0.187123,0.434103,0.592246,-0.146458,0.330995,0.139026,0.218822,0.12241,-0.100801,-0.023135,-0.0794353,0.56192,0.13506,-0.133855,-0.26916,0.145892,0.11898,0.0486209,-0.0131939,0.0765688,-0.0586552,-0.00385395,-0.0397873,0.0347941,-0.128826,-0.0604264,0.039123
2.21456,-0.648452,0.279795,0.251331,0.050599,0.325354,0.332953,-0.161235,0.35806,0.218707,0.0583682,0.113518,-0.206911,0.10285,-0.22707,0.471496,0.0954771,-0.0854226,-0.219669,0.232218,-0.136289,0.122779,-0.028717,-0.0467745,0.00625573,-0.066784,0.0770483,-0.0161284,-0.171222,-0.12924,-0.0488651
2.05314,-0.593327,0.346511,-0.0165674,-0.189548,0.32446,0.104865,-0.200741,0.312693,0.128882,0.140953,0.176153,-0.0480203,0.019074,-0.0482315,0.576008,0.14183,0.0514854,-0.174579,0.202189,-0.110512,0.204449,0.110809,0.359708,0.0978343,0.0816341,0.159561,0.152573,0.0272486,-0.222675,0.0716857
1.93948,-0.450534,0.402814,0.197848,0.17219,0.373623,0.278548,-0.200036,0.372812,0.0695959,0.0313567,0.0760883,-0.204994,0.0340937,-0.144424,0.4884,0.129424,0.0567327,-0.0905266,0.253309,0.259263,0.0920007,0.0810779,-0.153298,0.0764147,0.00132519,0.0509871,0.149062,-0.0231703,-0.0788454,0.0710067
1.76771,-0.331657,0.309136,0.23141,0.249225,0.653462,0.200318,-0.202004,0.35391,0.12242,0.230733,0.172882,-0.181107,0.106209,0.00104995,0.519737,0.0824964,0.056346,-0.19018,0.237108,0.00977006,0.115844,0.03698,0.0705181,-0.00541057,-0.0259032,0.110858,0.10132,0.0357146,-0.0751032,-0.0904139
2.06373,-0.420263,0.203073,0.304031,0.252667,0.428788,0.179008,-0.133138,0.343793,0.0629577,0.0306822,0.0178892,-0.116333,-0.0214075,0.0379612,0.553567,0.208487,-0.265348,-0.329813,0.148999,-0.0888477,0.132124,-0.0305025,0.422592,-0.12207,-0.00204165,0.0997083,0.17337,-0.267651,-0.388483,-0.0457427
2.13272,-0.338466,0.126328,0.0628829,0.274384,0.643012,0.201251,-0.151861,0.341943,0.280498,0.128937,0.15458,-0.500665,-0.187108,-0.337301,0.440869,0.0880457,-0.0399079,-0.0870091,0.185918,0.0767731,0.0194734,0.0328589,-0.108438,-0.077988,-0.00201222,0.0519382,0.0964956,-0.117495,-0.0931782,-0.0349768
2.03062,-0.376941,0.510514,0.133918,0.131462,0.142368,-0.128884,-0.164311,0.339628,0.124769,0.0125289,0.253185,-0.125517,-0.000681299,-0.0350375,0.509522,0.079486,-0.0305858,-0.0337913,0.172954,-0.111911,0.0609978,0.0437982,0.11924,-0.025544,0.0136737,0.0476723,0.134185,-0.056049,-0.157988,0.00100553
2.13957,-0.581487,0.421767,-0.0443539,0.0311469,0.17777,-0.115217,-0.167194,0.355353,0.18129,0.288342,-0.0134269,-0.209853,0.2064,-0.242108,0.482531,0.10214,0.0560842,-0.0861467,0.149795,0.0409347,0.188977,0.0661981,0.0351026,0.0497227,0.0686373,0.0732306,0.205818,-0.0731556,0.0302474,-0.115046
1.96249,-0.618884,0.19974,0.0371653,0.259941,0.40606,0.473407,-0.194777,0.370936,0.211873,0.326286,0.250379,-0.110302,0.131648,-0.0385751,0.485449,0.131041,-0.172088,-0.240667,0.17406,-0.0391232,0.0767225,0.0461198,0.182259,-0.027371,-0.0797261,0.0171174,0.163527,-0.0871652,-0.17966,-0.200455
1.71906,-0.33571,0.360069,0.245748,0.404719,0.377314,0.694582,-0.207597,0.336333,0.0157227,0.0379868,0.0253945,0.00289277,-0.00744937,-0.00413635,0.477037,0.199422,-0.0924391,-0.182338,0.170212,0.29561,0.234185,0.035119,-0.0255919,-0.0777128,-0.0500539,0.0245748,0.242875,-0.160043,0.00360059,0.0535041
1.78821,-0.537056,0.285897,0.369524,0.363954,0.565828,0.327023,-0.216169,0.335706,0.102986,0.192503,0.0308652,-0.0884391,0.0195994,0.0243766,0.47614,0.133429,0.183247,-0.200156,0.198309,-0.0315931,0.129594,0.0699242,0.315334,-0.0305236,0.105431,0.0855417,0.133242,-0.0664415,-0.18941,-0.070932
