alpha,public,urban,primary,secondary,tertiary,n_services,log_ID_p_bldgspace,logVisits,logVisitsPP_TB,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
1.32255,-0.356068,0.267694,-0.00338849,0.330733,0.202688,0.179185,-0.0140684,-0.258708,-0.524912,0.773928,0.149117,0.18682,0.102959,-0.0131088,-0.109298,0.215663
1.16699,-0.361002,0.270022,0.313837,0.456935,0.113587,0.132503,0.0955772,-0.237527,-0.466398,0.716382,0.259663,0.10223,0.349495,-0.755287,-0.0689425,0.254232
1.10737,-0.275035,0.295823,0.0656499,0.271809,-0.340218,0.0647598,0.0599239,-0.0230166,-0.546546,0.646043,0.261519,0.271744,0.403979,-0.695927,0.0963252,0.438363
1.03048,-0.330796,0.321391,0.237064,0.14877,0.0422795,0.219309,0.00230943,-0.247132,-0.35952,0.693331,0.314307,0.116224,0.448985,-0.067535,-0.254867,0.0449958
1.02546,-0.357964,0.268783,0.0992213,0.177414,0.28479,0.26349,0.02611,-0.349399,-0.569996,0.76493,0.185322,0.283297,0.165107,-0.243096,-0.0215633,0.125188
1.17501,-0.356564,0.386312,0.147902,0.52831,0.187844,0.205065,0.0363572,-0.414111,-0.383956,0.703107,0.111213,0.0772134,0.0590669,0.022917,0.0751995,-0.125049
1.05375,-0.3464,0.259928,0.238619,0.410601,0.179937,0.237191,0.220284,-0.365201,-0.522929,0.75148,0.505967,0.321927,0.515591,-0.274699,0.483442,0.172873
1.04394,-0.435295,0.360043,0.247784,0.480426,0.450219,0.290594,-0.00141423,-0.363332,-0.527289,0.684399,0.0848596,0.141479,0.01703,-0.149069,0.0811807,0.0424607
1.33341,-0.412348,0.266253,0.133478,0.701851,0.0605497,0.133004,0.106292,-0.318926,-0.358853,0.701947,0.117823,0.0053656,0.0178726,-0.331182,-0.128684,-0.18482
1.42505,-0.410654,0.27307,0.0633725,0.237619,0.137922,0.256022,0.0305017,-0.372239,-0.396281,0.802829,0.0468656,-0.00481269,0.0126196,-0.0397671,0.0359946,0.103258
1.10609,-0.377941,0.210934,0.228698,0.36639,0.253279,0.233214,0.0892955,-0.313396,-0.380249,0.716859,0.228441,0.187854,0.256203,-0.183165,-0.184757,0.268235
1.42511,-0.460026,0.29574,0.130103,0.246885,0.191418,0.235342,0.0326932,-0.244222,-0.429603,0.729592,0.316161,-0.0337434,0.113744,-0.369941,-0.215409,-0.127206
1.42048,-0.289949,0.298159,-0.0947933,0.102865,-0.164841,0.179986,0.102603,-0.259621,-0.271112,0.70371,0.400831,-0.0721759,0.265574,-0.493902,-0.225502,0.12646
1.02095,-0.366094,0.369603,0.159328,0.346123,-0.400221,0.08325,0.0190174,-0.216569,-0.485336,0.740298,0.293904,0.486121,0.106603,-0.140291,-0.055152,0.326711
1.24588,-0.334642,0.296594,0.193811,0.56437,-0.0782506,0.31975,-0.0197465,-0.363893,-0.545219,0.796147,0.0697211,0.0719556,0.010811,-0.0603611,0.0105336,-0.031083
1.07569,-0.15831,0.277374,0.198937,0.606891,0.0508282,0.166734,0.00664725,-0.23133,-0.551755,0.710607,0.360177,0.324502,0.230248,-0.442586,-0.170704,0.0375526
1.09431,-0.358422,0.392613,0.412862,0.660765,0.194124,0.312814,0.0730224,-0.426031,-0.438715,0.731943,0.29925,0.124359,-0.150669,-0.315257,-0.413868,0.148249
1.00163,-0.395618,0.241718,0.149371,0.948519,0.0362106,0.0582219,0.101612,-0.178386,-0.589168,0.680137,0.350367,0.246683,0.289864,-0.682053,0.240232,0.693206
2.19709,-0.365403,0.123907,0.0892334,0.365062,-0.114378,0.192179,0.0542497,-0.277296,-0.440236,0.662893,0.74421,-0.401631,-0.429169,-1.40591,-0.595523,-0.79989
1.23265,-0.23652,0.0816154,0.199267,0.548564,0.0479573,0.171179,0.0998308,-0.208026,-0.432558,0.67332,0.201068,0.264086,0.222353,-0.467478,-0.0737824,0.0228633
0.980841,-0.466104,0.284951,0.0974703,0.280735,-0.449361,0.265488,0.110469,-0.209875,-0.541137,0.695012,0.524828,0.462375,0.676662,-0.220652,0.21467,0.772256
1.18535,-0.291115,0.412573,0.0991208,0.194578,-0.132717,0.152685,-0.0264453,-0.183107,-0.385561,0.772632,0.121825,0.0389676,0.0570383,-0.239589,0.03724,0.0372174
0.915698,-0.217211,0.28909,0.386792,0.702042,0.447691,0.250326,0.0866189,-0.339874,-0.533984,0.746221,0.275808,0.214871,0.226003,-0.068176,0.228301,0.2848
1.1004,-0.411826,0.380844,0.261558,0.252418,-0.222943,0.123145,0.149078,-0.159812,-0.283964,0.747256,0.848496,0.476947,0.533298,-0.468276,-0.100363,0.14965
1.16283,-0.381771,0.32565,0.0524268,0.408127,-0.0887618,0.1143,-0.0628531,-0.194627,-0.221909,0.695144,0.733132,0.507092,0.47424,-0.542978,-0.201547,-0.0452202
1.078,-0.519642,0.18291,0.45941,0.417076,0.0465774,0.244591,0.144905,-0.305232,-0.653208,0.802838,0.377653,0.570452,0.366198,-0.355688,0.2091,0.70731
0.911651,-0.284382,0.28714,0.395275,0.43719,0.0198261,0.255758,-0.0157676,-0.368471,-0.342606,0.741627,0.252891,0.488387,0.429229,-0.126357,0.134292,-0.0811973
1.29118,-0.394451,0.231352,0.0967288,0.193323,0.351149,0.212821,0.06144,-0.318081,-0.455469,0.631395,0.359755,0.0422641,0.288256,-0.546986,0.00346024,0.0839058
1.03025,-0.337681,0.406528,0.147115,0.533555,-0.221111,0.160762,0.125675,-0.247236,-0.558527,0.660896,0.542207,0.361701,0.179747,-0.432367,0.0755024,0.602452
1.04778,-0.285792,0.39116,0.226139,0.483161,0.224963,0.250339,0.0438816,-0.333366,-0.471306,0.699207,0.0592246,0.101403,0.0630929,-0.0588371,-0.0237411,0.0222406
1.13106,-0.2698,0.351869,0.266927,0.765908,-0.0685421,0.246654,-0.0552645,-0.316363,-0.468533,0.72333,0.521932,-0.0226832,0.0816582,-0.437212,0.221576,0.0658547
1.13903,-0.230899,0.201305,0.210186,0.898855,0.422743,0.279244,0.0484066,-0.372999,-0.432383,0.767118,0.235287,0.0918826,0.38975,-0.261519,-0.122105,0.400987
1.04043,-0.433169,0.325581,0.162182,0.351706,0.126997,0.15267,0.130672,-0.357189,-0.296377,0.83535,0.238898,0.313901,0.402232,0.0779169,-0.199899,0.0619422
1.21425,-0.29073,0.376288,0.202766,0.540739,-0.0940303,0.212894,0.0360822,-0.244533,-0.322067,0.720416,0.137678,-0.0906441,0.0936701,-0.284912,-0.243471,-0.0114152
